nom_parfum,marque,nose,launch_year,rating_value,rating_count,main_accords,gender,longevity,sillage,price_feeling,top_notes,middle_notes,base_notes,url
#Cool Vibes,Zara,,2020.0,4.23,13,"['vanilla', 'fruity', 'sweet', 'citrus', 'powdery']",female,very weak,,ok,[],[],[],https://www.fragrantica.com/perfume/Zara/Cool-Vibes-64253.html
#Weekend Plan,Zara,,2020.0,4.33,3,"['citrus', 'floral', 'fresh spicy', 'vanilla', 'powdery', 'aromatic', 'sweet']",,,,,[],[],[],https://www.fragrantica.com/perfume/Zara/Weekend-Plan-64254.html
01 Magic Onsen,Zara,,2017.0,3.29,38,"['musky', 'white floral', 'woody', 'powdery', 'amber', 'animalic', 'citrus', 'sweet']",,very weak,intimate,,[],[],[],https://www.fragrantica.com/perfume/Zara/01-Magic-Onsen-43457.html
02 Sweet Vanilla,Zara,,2017.0,3.93,127,"['fruity', 'powdery', 'vanilla', 'woody', 'sweet', 'white floral', 'citrus', 'musky', 'aromatic', 'amber']",female,moderate,average,good value,"['Chestnut', 'Almond']",['Caramel'],"['Cedar', 'Vanilla', 'Musk']",https://www.fragrantica.com/perfume/Zara/02-Sweet-Vanilla-43458.html
Amber Vanilla,Zara,,,4.23,35,"['amber', 'vanilla', 'powdery']",,long lasting,average,,[],[],[],https://www.fragrantica.com/perfume/Zara/Amber-Vanilla-39949.html
Ambre Noble,Zara,,2016.0,4.33,115,"['amber', 'warm spicy']",male,long lasting,strong,ok,[],[],[],https://www.fragrantica.com/perfume/Zara/Ambre-Noble-40859.html
Antique Brown,Zara,Honorine Blanc,2023.0,4.45,421,"['sweet', 'vanilla', 'tobacco', 'honey', 'rum', 'amber', 'fruity', 'lactonic', 'powdery']",male,moderate,average,great value,[],[],[],https://www.fragrantica.com/perfume/Zara/Antique-Brown-87146.html
Artisan's Gold,Zara,,2019.0,3.97,33,"['white floral', 'honey', 'floral', 'sweet']",female,moderate,average,great value,[],[],[],https://www.fragrantica.com/perfume/Zara/Artisan-s-Gold-60141.html
03 Caipirissima,Zara,,2017.0,3.88,43,"['white floral', 'citrus', 'fruity', 'powdery', 'vanilla', 'woody', 'sweet', 'musky', 'nutty', 'cherry']",,moderate,strong,,"['Water Fruit', 'Black Currant', 'Bergamot', 'Lemon']","['Gardenia', 'Cherry', 'Jasmine']","['Amber', 'Sandalwood', 'Vanilla', 'Musk']",https://www.fragrantica.com/perfume/Zara/03-Caipirissima-43459.html
04 Pure Selection,Zara,,2017.0,3.91,33,"['white floral', 'floral', 'amber', 'fresh', 'green']",,moderate,intimate,,"['Magnolia', 'Gardenia', 'Ivy']","['Lily-of-the-Valley', 'Jasmine Sambac', 'Orange Blossom']","['Benzoin', 'Ambroxan', 'Orris']",https://www.fragrantica.com/perfume/Zara/04-Pure-Selection-43460.html
9 Rue d'Antibes Cannes,Zara,,2014.0,3.93,14,"['white floral', 'patchouli', 'earthy', 'woody', 'soft spicy', 'mossy', 'citrus', 'warm spicy', 'balsamic', 'musky']",,,enormous,,[],[],[],https://www.fragrantica.com/perfume/Zara/9-Rue-d-Antibes-Cannes-36723.html
Absolutely Dark,Zara,Marion Costero,2023.0,4.07,217,[],male,moderate,average,great value,[],[],[],https://www.fragrantica.com/perfume/Zara/Absolutely-Dark-87148.html
Bluey,Zara,,2024.0,4.0,7,"['citrus', 'woody', 'fruity', 'powdery', 'aromatic', 'fresh', 'warm spicy', 'sweet', 'aquatic']",,,,,[],[],[],https://www.fragrantica.com/perfume/Zara/Bluey-101201.html
Bold Blossom,Zara,Jérôme Epinette,2024.0,3.64,50,"['amber', 'warm spicy', 'rose', 'sweet', 'fruity', 'patchouli', 'woody', 'balsamic', 'fresh spicy', 'citrus']",female,moderate,average,great value,"['Tangerine', 'Saffron', 'Pink Pepper']","['Rose', 'Raspberry', 'Frankincense']","['Patchouli', 'Tonka Bean', 'Black Amber']",https://www.fragrantica.com/perfume/Zara/Bold-Blossom-92836.html
