nom_parfum,marque,nose,launch_year,rating_value,rating_count,main_accords,gender,longevity,sillage,price_feeling,top_notes,middle_notes,base_notes,url
Citrus 08,Kayali Fragrances,,2018.0,3.52,393,"['citrus', 'aromatic', 'rose', 'fruity', 'fresh spicy', 'musky', 'green', 'mossy', 'floral', 'sweet']",female,moderate,average,ok,"['Bergamot', 'Rhubarb', 'Pink Pepper', 'Black Currant', 'Pink Grapefruit']","['Damask Rose', 'Bulgarian Rose']","['Musk', 'Oakmoss', 'Tonka Bean']",https://www.fragrantica.com/perfume/Kayali-Fragrances/Citrus-08-52613.html
Déjà Vu White Flower 57,Kayali Fragrances,Gabriela Chelariu,2020.0,3.71,"1,608","['white floral', 'sweet', 'woody', 'tuberose', 'vanilla', 'fruity', 'powdery', 'animalic']",female,moderate,average,ok,"['Pear', 'Gardenia', 'Nectarine']","['Tuberose', 'Indian Jasmine', 'Orange Blossom']","['Patchouli', 'Cashmere Wood', 'Tahitian Vanilla', 'Sandalwood']",https://www.fragrantica.com/perfume/Kayali-Fragrances/Deja-Vu-White-Flower-57-59093.html
Elixir 11,Kayali Fragrances,,2018.0,3.65,668,"['rose', 'patchouli', 'fruity', 'woody', 'white floral', 'amber', 'warm spicy', 'floral', 'earthy', 'sweet']",female,moderate,average,ok,"['Red Apple', 'Rose Petals']","['Jasmine Sambac', 'May Rose']","['Patchouli', 'Vanilla', 'Amber']",https://www.fragrantica.com/perfume/Kayali-Fragrances/Elixir-11-52610.html
Invite Only Amber | 23,Kayali Fragrances,Firmenich,2021.0,3.73,"2,018","['sweet', 'warm spicy', 'amber', 'tobacco', 'cinnamon', 'woody', 'cherry', 'vanilla', 'honey', 'powdery']",unisex,moderate,average,ok,"['Chocolate', 'Tobacco Leaf', 'Hazelnut', 'Honey', 'Sour Cherry']","['Damask Rose', 'Citrus Leaf', 'Ceylon Cinnamon', 'May Rose']","['Amber', 'Agarwood (Oud)', 'Vanilla', 'Patchouli', 'Benzoin', 'Cypriol Oil or Nagarmotha', 'Musk', 'Sandalwood']",https://www.fragrantica.com/perfume/Kayali-Fragrances/Invite-Only-Amber-23-68958.html
Musk 12,Kayali Fragrances,,2018.0,4.03,"1,381","['musky', 'powdery', 'floral', 'vanilla', 'woody', 'white floral', 'sweet', 'aquatic']",female,moderate,intimate,ok,"['Freesia', 'Lotus']","['Jasmine', 'Musk']","['Sandalwood', 'Vanilla']",https://www.fragrantica.com/perfume/Kayali-Fragrances/Musk-12-52615.html
Sweet Diamond Pink Pepper 25,Kayali Fragrances,Gabriela Chelariu,2021.0,3.8,"1,693","['rose', 'warm spicy', 'soft spicy', 'floral', 'musky', 'woody', 'powdery', 'amber', 'sweet', 'patchouli']",female,moderate,average,ok,"['Bergamot', 'Pink Pepper', 'Royal Lily', 'Saffron']","['Vanilla Orchid', 'Bulgarian Rose', 'Magnolia', 'May Rose']","['Amber', 'Patchouli', 'Sandalwood', 'Musk']",https://www.fragrantica.com/perfume/Kayali-Fragrances/Sweet-Diamond-Pink-Pepper-25-67023.html
Utopia Vanilla Coco 21,Kayali Fragrances,Gabriela Chelariu,2021.0,3.83,"2,041","['white floral', 'vanilla', 'coconut', 'powdery', 'tuberose', 'sweet', 'lactonic', 'musky', 'floral', 'woody']",female,moderate,average,ok,"['Pear Blossom', 'Coconut Milk', 'Honeysuckle', 'Italian Lemon']","['Tuberose', 'Jasmine Sambac', 'Gardenia', 'Ambrette (Musk Mallow)']","['Patchouli', 'Musk', 'Bourbon Vanilla', 'Sandalwood']",https://www.fragrantica.com/perfume/Kayali-Fragrances/Utopia-Vanilla-Coco-21-68220.html
Vanilla 28,Kayali Fragrances,Gabriela Chelariu,2018.0,4.19,"7,476","['amber', 'sweet', 'vanilla', 'woody', 'warm spicy', 'powdery', 'musky', 'floral', 'patchouli']",female,moderate,average,ok,"['Jasmine', 'Vanilla Orchid']","['Brown sugar', 'Tonka Bean']","['Amber', 'Musk', 'Patchouli', 'Amberwood']",https://www.fragrantica.com/perfume/Kayali-Fragrances/Vanilla-28-52616.html
Vanilla Candy Rock Sugar | 42,Kayali Fragrances,Fabrice Pellegrin,2024.0,4.0,"2,122","['sweet', 'vanilla', 'fruity', 'woody', 'powdery']",female,moderate,average,ok,"['Pear', 'Ylang-Ylang', 'Vanilla', 'Rum', 'Marshmallow', 'Violet Leaves']","['Caramel', 'Bubble Gum', 'Jasmine', 'Labdanum', 'Jellybean']","['Sugar', 'Vetiver', 'Patchouli', 'Tonka', 'Cashmere Wood', 'Sandalwood']",https://www.fragrantica.com/perfume/Kayali-Fragrances/Vanilla-Candy-Rock-Sugar-42-92258.html
Vanilla Royale Sugared Patchouli | 64 Eau De Parfum Intense,Kayali Fragrances,Gabriela Chelariu,2022.0,3.87,"1,456","['sweet', 'vanilla', 'warm spicy', 'patchouli', 'woody', 'rum', 'amber', 'oud', 'powdery', 'balsamic']",female,long lasting,average,ok,"['Jasmine', 'Vanilla Orchid', 'Rum']","['Vanilla', 'Tonka Bean', 'Rose', 'Leather', 'Spicy Notes', 'Creme Brulee']","['Amber', 'Sugar', 'Agarwood (Oud)', 'Patchouli', 'Brown sugar', 'Musk']",https://www.fragrantica.com/perfume/Kayali-Fragrances/Vanilla-Royale-Sugared-Patchouli-64-Eau-De-Parfum-Intense-77430.html
