nom_parfum,marque,nose,launch_year,rating_value,rating_count,main_accords,gender,longevity,sillage,price_feeling,top_notes,middle_notes,base_notes,url
Rainbow Fantasy,Britney Spears,Gil Clavien,2019,4.17,334,"['sweet', 'fruity', 'caramel', 'citrus', 'green', 'floral', 'aromatic', 'woody', 'fresh', 'powdery']",female,moderate,average,good value,"['Pear Leaf', 'Cloudberry', 'Finger Lime']","['Water Lily', 'Jasmine', 'Peony']","['Crystal Amber', 'Woody Notes', 'Cotton Candy']",https://www.fragrantica.com/perfume/Britney-Spears/Rainbow-Fantasy-53273.html
Orange Blossom Cologne (2019),Jo Malone London,Jean Claude Delville,2019,3.93,70,"['citrus', 'floral', 'white floral', 'green', 'sweet', 'fresh']",unisex,weak,average,,"['Clementine', 'Citron', 'Green Notes']","['Orange Blossom', 'Lotus']","['Lilac', 'Vetiver', 'Orris']",https://www.fragrantica.com/perfume/Jo-Malone-London/Orange-Blossom-Cologne-2019-54457.html
Silk Blossom Cologne (2019),Jo Malone London,,2019,4.15,113,"['floral', 'fruity', 'fresh spicy', 'powdery', 'rose', 'mossy', 'white floral', 'citrus', 'earthy', 'sweet']",female,moderate,average,ok,"['Bergamot', 'White Pepper', 'Apricot']","['Rose', 'Jasmine', 'Silk Tree blossom']","['Heliotrope', 'Moss']",https://www.fragrantica.com/perfume/Jo-Malone-London/Silk-Blossom-Cologne-2019-54455.html
Star Magnolia Cologne (2019),Jo Malone London,,2019,3.90,144,"['citrus', 'floral', 'aromatic', 'woody', 'green', 'warm spicy', 'fresh', 'fresh spicy']",female,moderate,intimate,ok,"['Lemon', 'Shiso', 'Ginger']","['Neroli', 'Magnolia']","['Cedar', 'Amber']",https://www.fragrantica.com/perfume/Jo-Malone-London/Star-Magnolia-Cologne-2019-54456.html
Frangipani Flower,Jo Malone London,Marie Salamagne,2021,3.59,116,"['floral', 'citrus', 'tropical', 'white floral', 'woody', 'yellow floral', 'lactonic', 'aromatic']",female,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Jo-Malone-London/Frangipani-Flower-66483.html
Nashi Blossom,Jo Malone London,Fabrice Pellegrin,2021,3.68,90,"['musky', 'fruity', 'floral', 'powdery', 'fresh', 'citrus']",female,moderate,average,overpriced,[],[],[],https://www.fragrantica.com/perfume/Jo-Malone-London/Nashi-Blossom-66482.html
Red Hibiscus Cologne Intense,Jo Malone London,,2021,3.79,190,"['white floral', 'vanilla', 'yellow floral', 'floral', 'sweet', 'woody', 'powdery', 'citrus', 'fresh spicy']",female,moderate,average,overpriced,['Mandarin Orange'],"['Ylang-Ylang', 'Jasmine Sambac', 'Hibiscus']",['Vanilla'],https://www.fragrantica.com/perfume/Jo-Malone-London/Red-Hibiscus-Cologne-Intense-65928.html
Yellow Hibiscus,Jo Malone London,,2021,3.61,165,"['rose', 'floral', 'musky', 'citrus', 'powdery', 'fresh spicy', 'conifer', 'sweet']",female,moderate,average,ok,['Hibiscus'],"['Rose', 'Lime']",['White Musk'],https://www.fragrantica.com/perfume/Jo-Malone-London/Yellow-Hibiscus-65929.html
Osmanthus Cologne,Jo Malone London,,2020,3.95,108,"['fruity', 'floral', 'white floral', 'citrus', 'woody', 'lactonic', 'soft spicy', 'sweet', 'green', 'aromatic']",female,moderate,average,ok,"['Petitgrain', 'Peach']","['Orange Blossom', 'Osmanthus']",['Cashmere Wood'],https://www.fragrantica.com/perfume/Jo-Malone-London/Osmanthus-Cologne-60485.html
Silk Blossom Cologne,Jo Malone London,,2020,4.01,95,"['floral', 'fruity', 'powdery', 'mossy', 'earthy', 'sweet', 'vanilla', 'fresh spicy', 'lactonic', 'almond']",female,moderate,average,ok,"['White Pepper', 'Apricot']",['Silk Tree blossom'],"['Heliotrope', 'Moss']",https://www.fragrantica.com/perfume/Jo-Malone-London/Silk-Blossom-Cologne-60486.html
